user_id capacity sessions
320 6-mbps 8
321 6-mbps 9
322 6-mbps 145
323 6-mbps 29
324 6-mbps 42
325 6-mbps 82
326 6-mbps 200
327 6-mbps 229
328 6-mbps 127
329 6-mbps 3
330 6-mbps 118
331 6-mbps 173
332 6-mbps 111
333 6-mbps 167
334 6-mbps 16
335 6-mbps 101
336 6-mbps 19
337 6-mbps 33
338 6-mbps 1
339 6-mbps 5
340 6-mbps 130
341 6-mbps 37
342 6-mbps 1
343 6-mbps 45
344 6-mbps 156
345 6-mbps 83
346 6-mbps 171
347 6-mbps 66
348 6-mbps 36
349 6-mbps 45
350 6-mbps 11
351 6-mbps 244
352 6-mbps 127
353 6-mbps 2
354 6-mbps 8
355 6-mbps 1
356 6-mbps 12
357 6-mbps 109
358 6-mbps 35
359 6-mbps 41
360 6-mbps 7
361 6-mbps 24
362 6-mbps 2
363 6-mbps 173
364 6-mbps 78
365 6-mbps 1
366 6-mbps 19
367 6-mbps 4
368 6-mbps 3
369 6-mbps 3
370 6-mbps 1
371 6-mbps 9
372 6-mbps 3
373 6-mbps 35
374 6-mbps 89
375 6-mbps 1
376 6-mbps 96
377 6-mbps 1
378 6-mbps 1
379 6-mbps 23
380 6-mbps 7
381 6-mbps 1
382 6-mbps 28
383 6-mbps 1
384 6-mbps 36
385 6-mbps 9
386 6-mbps 38
387 6-mbps 1
388 6-mbps 20
389 6-mbps 13
390 6-mbps 87
391 6-mbps 4
392 6-mbps 12
393 6-mbps 32
394 6-mbps 35
395 6-mbps 1
396 6-mbps 24
397 6-mbps 5
398 6-mbps 5
399 6-mbps 30
400 6-mbps 33
401 6-mbps 3
402 6-mbps 2
403 6-mbps 362
404 6-mbps 61
405 6-mbps 49
406 6-mbps 18
407 6-mbps 59
408 6-mbps 224
409 6-mbps 637
410 6-mbps 231
411 6-mbps 1
412 6-mbps 2
413 6-mbps 37
414 6-mbps 2
415 6-mbps 3
416 6-mbps 19
417 6-mbps 5
418 6-mbps 1
419 6-mbps 48
420 6-mbps 21
421 6-mbps 149
422 6-mbps 5
423 6-mbps 1
424 6-mbps 85
425 6-mbps 1
426 6-mbps 392
427 6-mbps 35
428 6-mbps 25
429 6-mbps 12
430 6-mbps 73
431 6-mbps 7
432 6-mbps 1
433 6-mbps 1
434 6-mbps 35
435 6-mbps 21
436 6-mbps 19
437 6-mbps 17
438 6-mbps 14
439 6-mbps 7
440 6-mbps 25
441 6-mbps 30
442 6-mbps 5
443 6-mbps 37
444 6-mbps 66
445 6-mbps 80
446 6-mbps 397
447 6-mbps 6
448 6-mbps 37
449 6-mbps 138
450 6-mbps 43
451 6-mbps 83
452 6-mbps 92
453 6-mbps 108
454 6-mbps 105
455 6-mbps 203
456 6-mbps 58
457 6-mbps 82
458 6-mbps 95
459 6-mbps 179
460 6-mbps 28
461 6-mbps 24
462 6-mbps 1
463 6-mbps 2
464 6-mbps 4
465 6-mbps 48
466 6-mbps 1
467 6-mbps 1
468 6-mbps 1
469 6-mbps 73
470 6-mbps 58
471 6-mbps 195
472 6-mbps 178
473 6-mbps 1
474 6-mbps 106
475 6-mbps 246
476 6-mbps 5
477 6-mbps 17
478 6-mbps 4
479 6-mbps 9
480 6-mbps 6
481 6-mbps 6
482 6-mbps 69
483 6-mbps 89
484 6-mbps 9
485 6-mbps 2
486 6-mbps 27
487 6-mbps 1
488 6-mbps 3
489 6-mbps 106
490 6-mbps 220
491 6-mbps 41
492 6-mbps 23
493 6-mbps 34
494 6-mbps 73
495 6-mbps 181
496 6-mbps 120
497 6-mbps 21
498 6-mbps 13
499 6-mbps 52
500 6-mbps 2
501 6-mbps 5
502 6-mbps 78
503 6-mbps 9
504 6-mbps 28
505 6-mbps 139
506 6-mbps 9
507 6-mbps 97
508 6-mbps 156
509 6-mbps 27
510 6-mbps 3
511 6-mbps 133
512 6-mbps 2
513 6-mbps 1
514 6-mbps 14
515 6-mbps 19
516 6-mbps 116
517 6-mbps 36
518 6-mbps 59
519 6-mbps 21
520 6-mbps 136
521 6-mbps 198
522 6-mbps 18
523 6-mbps 1
524 6-mbps 1
525 6-mbps 8
526 6-mbps 57
527 6-mbps 6
528 6-mbps 264
529 6-mbps 6
530 6-mbps 2
531 6-mbps 55
532 6-mbps 42
533 6-mbps 84
534 6-mbps 108
535 6-mbps 43
536 6-mbps 224
537 6-mbps 53
538 6-mbps 1
539 6-mbps 2
540 6-mbps 85
541 6-mbps 98
542 6-mbps 16
543 6-mbps 5
544 6-mbps 68
545 6-mbps 55
546 6-mbps 52
547 6-mbps 166
548 6-mbps 40
549 6-mbps 87
550 6-mbps 6
551 6-mbps 16
552 6-mbps 32
553 6-mbps 28
554 6-mbps 7
555 6-mbps 114
556 6-mbps 116
557 6-mbps 72
558 6-mbps 2
559 9-mbps 212
560 9-mbps 2
561 9-mbps 123
562 9-mbps 125
563 9-mbps 63
564 9-mbps 1
565 9-mbps 65
566 9-mbps 204
567 9-mbps 77
568 9-mbps 60
569 9-mbps 47
570 9-mbps 34
571 9-mbps 32
572 9-mbps 5
573 9-mbps 3
574 9-mbps 9
575 9-mbps 1
576 9-mbps 20
577 9-mbps 4
578 9-mbps 367
579 9-mbps 52
580 9-mbps 27
581 9-mbps 247
582 9-mbps 157
583 9-mbps 5
584 9-mbps 133
585 9-mbps 113
586 9-mbps 173
587 9-mbps 1
588 9-mbps 24
589 9-mbps 273
590 9-mbps 66
591 9-mbps 2
592 9-mbps 36
593 9-mbps 37
594 9-mbps 1
595 9-mbps 51
596 9-mbps 1
597 9-mbps 181
598 9-mbps 33
599 9-mbps 76
600 9-mbps 69
601 9-mbps 38
602 9-mbps 162
603 9-mbps 333
604 9-mbps 24
605 9-mbps 21
606 9-mbps 26
607 9-mbps 6
608 9-mbps 7
609 9-mbps 17
610 9-mbps 7
611 9-mbps 153
612 9-mbps 5
613 9-mbps 4
614 9-mbps 2
615 9-mbps 4
616 9-mbps 77
617 9-mbps 57
618 9-mbps 21
619 9-mbps 1
620 9-mbps 2
621 9-mbps 9
622 9-mbps 271
623 9-mbps 2
624 9-mbps 24
625 9-mbps 79
626 9-mbps 5
627 9-mbps 36
628 9-mbps 43
629 9-mbps 55
630 9-mbps 134
631 9-mbps 128
632 9-mbps 22
633 9-mbps 7
634 9-mbps 5
635 9-mbps 51
636 9-mbps 79
637 9-mbps 89
638 9-mbps 51
639 9-mbps 10
640 9-mbps 89
641 9-mbps 327
642 9-mbps 4
643 9-mbps 22
644 9-mbps 2
645 9-mbps 3
646 9-mbps 66
647 9-mbps 75
648 9-mbps 12
649 9-mbps 48
650 9-mbps 16
651 9-mbps 74
652 9-mbps 118
653 9-mbps 36
654 9-mbps 22
655 9-mbps 159
656 9-mbps 47
657 9-mbps 44
658 9-mbps 4
659 9-mbps 8
660 9-mbps 1
661 9-mbps 45
662 9-mbps 52
663 9-mbps 380
664 9-mbps 36
665 9-mbps 14
666 9-mbps 6
667 9-mbps 6
668 9-mbps 10
669 9-mbps 9
670 9-mbps 47
671 9-mbps 137
672 9-mbps 41
673 9-mbps 27
674 9-mbps 116
675 9-mbps 48
676 9-mbps 25
677 9-mbps 40
678 9-mbps 14
679 9-mbps 38
680 9-mbps 37
681 9-mbps 22
682 9-mbps 26
683 9-mbps 7
684 9-mbps 33
685 9-mbps 1
686 9-mbps 29
687 9-mbps 7
688 9-mbps 41
689 9-mbps 27
690 9-mbps 21
691 9-mbps 8
692 9-mbps 124
693 9-mbps 2
694 9-mbps 27
695 9-mbps 30
696 9-mbps 4
697 9-mbps 182
698 9-mbps 41
699 9-mbps 54
700 9-mbps 6
701 9-mbps 22
702 9-mbps 54
703 9-mbps 5
704 9-mbps 128
705 9-mbps 59
706 9-mbps 32
707 9-mbps 20
708 9-mbps 3
709 9-mbps 26
710 9-mbps 11
711 9-mbps 2
712 9-mbps 10
713 9-mbps 3
714 9-mbps 16
715 9-mbps 60
716 9-mbps 60
717 9-mbps 211
718 9-mbps 41
719 9-mbps 76
720 9-mbps 14
721 9-mbps 56
722 9-mbps 267
723 9-mbps 8
724 9-mbps 9
725 9-mbps 26
726 9-mbps 176
727 9-mbps 10
728 9-mbps 41
729 9-mbps 196
730 9-mbps 1
731 9-mbps 102
732 9-mbps 6
733 9-mbps 164
734 9-mbps 14
735 9-mbps 17
736 9-mbps 103
737 9-mbps 213
738 9-mbps 34
739 9-mbps 36
740 9-mbps 25
741 9-mbps 46
742 9-mbps 25
743 9-mbps 37
744 9-mbps 102
745 9-mbps 66
746 9-mbps 1
747 9-mbps 3
748 9-mbps 34
749 9-mbps 132
750 9-mbps 179
751 9-mbps 52
752 9-mbps 96
753 9-mbps 39
754 9-mbps 1
755 9-mbps 231
756 9-mbps 22
757 9-mbps 25
758 9-mbps 7
759 9-mbps 1
760 9-mbps 39
761 9-mbps 5
762 9-mbps 21
763 9-mbps 28
764 9-mbps 32
765 9-mbps 32
766 9-mbps 8
767 9-mbps 2
768 9-mbps 1
769 9-mbps 1
770 9-mbps 151
771 9-mbps 13
772 9-mbps 11
773 9-mbps 21
774 9-mbps 2
775 9-mbps 188
776 9-mbps 20
777 9-mbps 252
778 9-mbps 249
779 9-mbps 98
780 9-mbps 307
781 9-mbps 36
782 9-mbps 88
783 9-mbps 32
784 9-mbps 342
785 9-mbps 391
786 9-mbps 169
787 9-mbps 146
788 9-mbps 1
789 9-mbps 5
790 9-mbps 51
791 9-mbps 170
792 9-mbps 7
793 9-mbps 104
794 9-mbps 270
795 9-mbps 137
796 9-mbps 5
797 9-mbps 53
798 9-mbps 65
799 9-mbps 142
800 9-mbps 120
801 9-mbps 199
802 9-mbps 23
803 9-mbps 70
804 9-mbps 4
805 9-mbps 113
806 9-mbps 68
807 9-mbps 1
808 9-mbps 131
809 9-mbps 52
810 9-mbps 4
811 9-mbps 7
812 9-mbps 10
813 9-mbps 1
814 9-mbps 14
815 9-mbps 54
816 9-mbps 3
817 9-mbps 80
818 9-mbps 9
819 9-mbps 68
820 9-mbps 24
821 9-mbps 51
822 9-mbps 19
823 9-mbps 2
824 9-mbps 23
825 9-mbps 11
826 9-mbps 44
827 9-mbps 9
828 9-mbps 47
829 9-mbps 2
830 9-mbps 7
831 9-mbps 6
832 9-mbps 1
833 9-mbps 9
834 9-mbps 33
835 9-mbps 68
836 9-mbps 14
837 9-mbps 1
838 9-mbps 173
839 9-mbps 163
840 9-mbps 9
841 9-mbps 8
842 9-mbps 37
843 9-mbps 15
844 9-mbps 150
845 9-mbps 65
846 9-mbps 39
847 9-mbps 75
848 9-mbps 47
849 9-mbps 82
850 9-mbps 21
851 9-mbps 22
852 9-mbps 64
853 9-mbps 97
854 9-mbps 8
855 9-mbps 8
856 9-mbps 143
857 9-mbps 33
858 9-mbps 119
859 9-mbps 47
860 9-mbps 25
861 9-mbps 8
862 9-mbps 225
863 9-mbps 37
864 9-mbps 171
865 9-mbps 29
866 9-mbps 24
867 9-mbps 2
868 9-mbps 4
869 9-mbps 31
870 9-mbps 184
871 9-mbps 3
872 9-mbps 122
873 9-mbps 14
874 9-mbps 1
875 9-mbps 28
876 9-mbps 225
877 9-mbps 192
878 9-mbps 81
879 9-mbps 65
880 9-mbps 144
881 9-mbps 16
882 9-mbps 36
883 9-mbps 43
884 9-mbps 130
885 9-mbps 14
886 9-mbps 78
887 9-mbps 1
888 9-mbps 26
889 9-mbps 86
890 9-mbps 19
891 9-mbps 6
892 9-mbps 94
893 9-mbps 3
894 9-mbps 36
895 9-mbps 1
896 9-mbps 493
897 9-mbps 19
898 9-mbps 452
899 9-mbps 77
900 9-mbps 1
901 9-mbps 73
902 9-mbps 23
903 9-mbps 50
904 9-mbps 83
905 9-mbps 267
906 9-mbps 30
907 9-mbps 6
908 9-mbps 551
909 9-mbps 95
910 9-mbps 86
911 9-mbps 217
912 9-mbps 35
913 9-mbps 8
914 9-mbps 134
915 9-mbps 297
916 9-mbps 139
917 9-mbps 105
918 9-mbps 46
919 9-mbps 147
920 9-mbps 47
921 9-mbps 538
922 9-mbps 179
923 9-mbps 6
924 9-mbps 113
925 9-mbps 78
926 9-mbps 3
927 9-mbps 53
928 9-mbps 215
929 9-mbps 11
930 9-mbps 54
931 9-mbps 3
932 9-mbps 33
933 9-mbps 2
